device,host,cation,anion,sampling,group,file,dCF3_sym_pos,dCF3_sym_h,dCF3_sym_area,nsSO3_pos,nsSO3_h,nsSO3_area,PEO_COC_pos,PEO_COC_h,PEO_COC_area,nsCF3_pos,nsCF3_h,nsCF3_area,nasSO3_pos,nasSO3_h,nasSO3_area,H2O_bend_pos,H2O_bend_h,H2O_bend_area,OH_stretch_pos,OH_stretch_h,OH_stretch_area
NM_v126,PEO,Li,OTf,film,matrix,1.0.csv,758.6,0.0007,0.01,1032.4,0.039,0.592,1139.5,0.0442,1.977,1215.6,0.0,0.0,1255.8,0.0135,0.234,1602.7,0.0004,0.001,3446.2,0.0143,5.407
NM_v127,PEO,Na,OTf,powder,matrix,2.0.csv,753.5,0.0012,0.007,1029.3,0.0059,0.073,1136.4,0.0133,0.702,1239.3,0.0014,0.011,1248.6,0.0003,0.001,1601.6,0.0,0.0,3565.6,0.0007,0.018
NM_v128,PEO,K,OTf,powder,matrix,3.csv,752.4,0.0014,0.007,1030.4,0.0158,0.174,1136.4,0.0278,1.539,1240.3,0.0021,0.012,1248.6,0.0007,0.003,1601.6,0.0,0.0,3544.0,0.0015,0.174
NM_v129,TMPE,Li,OTf,film,matrix,4.0.csv,758.6,0.0009,0.01,1031.4,0.0187,0.264,1138.4,0.0186,0.707,1215.6,0.0,0.0,1251.7,0.0032,0.039,1601.6,0.0,0.0,3389.6,0.0048,1.625
NM_v130,TMPE,Na,OTf,film,matrix,5.0.csv,751.4,0.0008,0.01,1032.4,0.0034,0.045,1138.4,0.0039,0.19,1215.6,0.0,0.0,1252.7,0.0007,0.015,1600.6,0.0,0.0,3318.5,0.0049,1.482
NM_v131,TMPE,K,OTf,powder,matrix,6.0.csv,752.4,0.0007,0.003,1029.3,0.0086,0.097,1136.4,0.0175,0.897,1239.3,0.0021,0.016,1247.5,0.0002,0.0,1601.6,0.0001,0.0,3446.2,0.0019,0.339
NM_v132,PEO,Li,OTf,powder,repeat,2022-10-11_1.1.csv,758.6,0.0008,0.004,1029.3,0.0191,0.21,1136.4,0.0237,1.076,1239.3,0.0035,0.028,1247.5,0.0005,0.001,1601.6,0.0002,0.0,3478.1,0.0098,2.288
NM_v133,TMPE,Li,OTf,powder,repeat,2022-10-11_2.0.csv,745.2,0.0,0.0,1029.3,0.0205,0.225,1135.3,0.0248,1.047,1239.3,0.0038,0.029,1246.5,0.0003,0.001,1601.6,0.0001,0.0,3456.5,0.0106,2.72
NM_v134,PEO,Li,OTf,film,glovebox,2022-10-21_1.0corrfin.csv,760.7,0.024,0.436,1020.1,0.0,0.0,1080.8,0.0,0.0,1215.6,0.0,0.0,1245.5,0.0,0.0,1632.5,0.0009,0.03,3563.5,0.0028,0.704
NM_v136,PEO,Li,OTf,film,glovebox,2022-10-21_3.0corrfin.csv,753.5,0.0076,0.082,1031.4,0.0008,0.013,1146.7,0.0181,0.161,1241.4,0.0014,0.005,1281.5,0.0252,0.576,1600.6,0.0,0.0,3516.2,0.0009,0.1
NM_v138,PEO,Li,OTf,film,glovebox,2022-10-21_5.0corrfin.csv,754.5,0.0032,0.033,1020.1,0.0,0.0,1145.6,0.0085,0.103,1239.3,0.0015,0.011,1276.4,0.0081,0.24,1600.6,0.0,0.0,3584.1,0.0013,0.244
NM_v135,PEO,Li,OTf,film,ambient2h,2022-10-21_2.0corrfin.csv,753.5,0.0261,0.282,1033.4,0.0034,0.05,1147.7,0.0631,0.53,1241.4,0.0037,0.014,1282.5,0.1061,2.162,1600.6,0.0,0.0,3464.7,0.0013,0.188
NM_v137,PEO,Li,OTf,film,ambient2h,2022-10-21_4.0corrfin.csv,761.7,0.0206,0.397,1020.1,0.0,0.0,1080.8,0.0,0.0,1215.6,0.0,0.0,1245.5,0.0,0.0,1634.6,0.0012,0.035,3565.6,0.0027,0.772
NM_v139,PEO,Li,OTf,film,ambient2h,2022-10-21_6.0corrfin.csv,761.7,0.0196,0.346,1020.1,0.0,0.0,1080.8,0.0,0.0,1215.6,0.0,0.0,1281.5,0.0,0.0,1634.6,0.0007,0.018,3549.1,0.0021,0.607
