host,anion,cation,peo,salt,metal,n_devices,n_all3,all3_devices
PEO,TFSI,K,0.3,0.09,Ag,2,1,NM_v326
PEO,TFSI,Li,0.3,0.09,Ag,2,1,NM_v321
PEO,TFSI,Na,0.3,0.09,Ag,2,1,NM_v323
PEO,Tr,K,0.3,0.09,?,1,0,
PEO,Tr,K,0.3,0.09,Ag,2,1,NM_v249
PEO,Tr,Li,0.15,0.045,Ag,1,0,
PEO,Tr,Li,0.15,0.09,Ag,1,0,
PEO,Tr,Li,0.15,0.18,Ag,1,0,
PEO,Tr,Li,0.3,0.045,?,6,0,
PEO,Tr,Li,0.3,0.045,Ag,4,4,NM_v147;NM_v244;NM_v259;NM_v260
PEO,Tr,Li,0.3,0.09,?,32,0,
PEO,Tr,Li,0.3,0.09,Ag,19,4,NM_v114;NM_v140;NM_v146;NM_v241
PEO,Tr,Li,0.3,0.09,Au,6,4,NM_v265;NM_v268;NM_v269;NM_v270
PEO,Tr,Li,0.3,0.18,Ag,2,0,
PEO,Tr,Li,0.37,0.055,?,17,0,
PEO,Tr,Li,0.42,0.03,?,6,0,
PEO,Tr,Li,0.6,0.045,Ag,3,2,NM_v261;NM_v262
PEO,Tr,Li,0.6,0.09,?,6,0,
PEO,Tr,Li,0.6,0.09,Ag,6,3,NM_v142;NM_v152;NM_v242
PEO,Tr,Li,0.6,0.18,?,6,0,
PEO,Tr,Li,0.6,0.18,Ag,3,2,NM_v143;NM_v245
PEO,Tr,Li,1.2,0.045,Ag,3,3,NM_v156;NM_v263;NM_v264
PEO,Tr,Li,1.2,0.09,?,6,0,
PEO,Tr,Li,1.2,0.09,Ag,6,2,NM_v155;NM_v243
PEO,Tr,Li,1.2,0.18,?,6,0,
PEO,Tr,Li,1.2,0.18,Ag,3,3,NM_v145;NM_v157;NM_v246
PEO,Tr,Na,0.3,0.09,?,1,0,
PEO,Tr,Na,0.3,0.09,Ag,2,1,NM_v248
TMPE,TFSI,K,0.3,0.09,Ag,2,2,NM_v337;NM_v338
TMPE,TFSI,Li,0.3,0.09,Ag,2,2,NM_v333;NM_v334
TMPE,TFSI,Na,0.3,0.09,Ag,2,2,NM_v335;NM_v336
TMPE,TFSI,Na,0.3,0.09,Au,2,0,
TMPE,Tr,K,0.3,0.09,?,2,0,
TMPE,Tr,K,0.3,0.09,Ag,2,2,NM_v122;NM_v252
TMPE,Tr,K,0.3,0.09,Au,6,0,
TMPE,Tr,Li,0.3,0.09,?,10,0,
TMPE,Tr,Li,0.3,0.09,Ag,2,1,NM_v250
TMPE,Tr,Li,0.3,0.09,Au,17,3,NM_v291;NM_v314;NM_v315
TMPE,Tr,Na,0.3,0.09,?,1,0,
TMPE,Tr,Na,0.3,0.09,Ag,2,2,NM_v121;NM_v251
TMPE,Tr,Na,0.3,0.09,Au,4,0,
TMPE,Tr,Na,0.3,0.1,?,1,0,
