device_id,host,cation,components,peo_mass_fraction,salt_mass_fraction,electrode,date,speed_rpm,anneal_C,n_pix_hyst,n_pix_npulse,n_pix_delay,n_flagged
NM_v116,PEO,K,"SY, PEO, KTr",0.3,0.09,Ag,2022-05,2000,75.0,6,1,1,6
NM_v128,PEO,K,"SY, PEO, KTr",0.3,0.09,,2022-09,2000,75.0,0,0,0,0
NM_v249,PEO,K,"SY, PEO, KTr",0.3,0.09,Ag,2023-10,2000,75.0,2,1,1,0
NM_v150,PEO,Li,"SY, PEO, LiTr",0.15,0.045,Ag,2023-02,1500,75.0,4,1,1,2
NM_v149,PEO,Li,"SY, PEO, LiTr",0.15,0.09,Ag,2023-02,1700,75.0,3,1,1,1
NM_v151,PEO,Li,"SY, PEO, LiTr",0.15,0.18,Ag,2023-02,2050,75.0,4,1,1,0
NM_v147,PEO,Li,"SY, PEO, LiTr",0.3,0.045,Ag,2023-02,1950,75.0,4,1,1,0
NM_v223,PEO,Li,"SY, PEO, LiTr",0.3,0.045,,2023-09,1500,75.0,0,0,0,0
NM_v224,PEO,Li,"SY, PEO, LiTr",0.3,0.045,,2023-09,1800,75.0,0,0,0,0
NM_v225,PEO,Li,"SY, PEO, LiTr",0.3,0.045,,2023-09,2100,75.0,0,0,0,0
NM_v226,PEO,Li,"SY, PEO, LiTr",0.3,0.045,,2023-09,2400,75.0,0,0,0,0
NM_v227,PEO,Li,"SY, PEO, LiTr",0.3,0.045,,2023-09,2700,75.0,0,0,0,0
NM_v228,PEO,Li,"SY, PEO, LiTr",0.3,0.045,,2023-09,3000,75.0,0,0,0,0
NM_v244,PEO,Li,"SY, PEO, LiTr",0.3,0.045,Ag,2023-10,2100,75.0,2,1,1,0
NM_v259,PEO,Li,"SY, PEO, LiTr",0.3,0.045,Ag,2024-06,2100,75.0,2,1,1,0
NM_v260,PEO,Li,"SY, PEO, LiTr",0.3,0.045,Ag,2024-06,2100,75.0,2,1,1,0
NM_v092,PEO,Li,"SY, PEO, LiTr",0.3,0.09,Ag,2022-01,2000,75.0,7,0,0,0
NM_v093,PEO,Li,"SY, PEO, LiTr",0.3,0.09,Ag,2022-01,2000,75.0,7,0,0,0
NM_v094,PEO,Li,"SY, PEO, LiTr",0.3,0.09,Ag,2022-01,2000,75.0,0,0,0,0
