device_id,stratum,host,salt,cation,peo_mass_fraction,salt_mass_fraction,quarter,electrode,speed_rpm,anneal_C,has_hyst,has_npulse,has_delaytime,n_hyst_clean,n_npulse_clean,n_delay_clean,manifest_candidate,passed_read_disturb,notes
NM_v150,A_concentration,PEO,LiTr,Li,0.15,0.045,2023-Q1,Ag,1500,75.0,1,1,0,2,1,0,0,unknown,
NM_v149,A_concentration,PEO,LiTr,Li,0.15,0.09,2023-Q1,Ag,1700,75.0,0,1,0,0,1,0,0,unknown,
NM_v151,A_concentration,PEO,LiTr,Li,0.15,0.18,2023-Q1,Ag,2050,75.0,0,1,1,0,1,1,0,unknown,
NM_v147,A_concentration,PEO,LiTr,Li,0.3,0.045,2023-Q1,Ag,1950,75.0,1,1,1,4,1,1,1,unknown,
NM_v223,A_concentration,PEO,LiTr,Li,0.3,0.045,2023-Q3,,1500,75.0,0,0,0,0,0,0,0,unknown,
NM_v224,A_concentration,PEO,LiTr,Li,0.3,0.045,2023-Q3,,1800,75.0,0,0,0,0,0,0,0,unknown,
NM_v225,A_concentration,PEO,LiTr,Li,0.3,0.045,2023-Q3,,2100,75.0,0,0,0,0,0,0,0,unknown,
NM_v226,A_concentration,PEO,LiTr,Li,0.3,0.045,2023-Q3,,2400,75.0,0,0,0,0,0,0,0,unknown,
NM_v227,A_concentration,PEO,LiTr,Li,0.3,0.045,2023-Q3,,2700,75.0,0,0,0,0,0,0,0,unknown,
NM_v228,A_concentration,PEO,LiTr,Li,0.3,0.045,2023-Q3,,3000,75.0,0,0,0,0,0,0,0,unknown,
NM_v244,A_concentration,PEO,LiTr,Li,0.3,0.045,2023-Q4,Ag,2100,75.0,1,1,1,2,1,1,1,unknown,
NM_v259,A_concentration,PEO,LiTr,Li,0.3,0.045,2024-Q2,Ag,2100,75.0,1,1,1,2,1,1,1,unknown,
NM_v260,A_concentration,PEO,LiTr,Li,0.3,0.045,2024-Q2,Ag,2100,75.0,1,1,1,2,1,1,1,unknown,
NM_v141,A_concentration,PEO,LiTr,Li,0.3,0.18,2022-Q4,Ag,2000,75.0,1,1,0,2,1,0,0,unknown,
NM_v148,A_concentration,PEO,LiTr,Li,0.3,0.18,2023-Q1,Ag,2400,75.0,1,1,0,3,1,0,0,unknown,
NM_v153,A_concentration,PEO,LiTr,Li,0.6,0.045,2023-Q1,Ag,2600,75.0,1,1,1,4,1,1,1,unknown,
NM_v261,A_concentration,PEO,LiTr,Li,0.6,0.045,2024-Q2,Ag,2350,75.0,1,1,1,2,1,1,1,unknown,
NM_v262,A_concentration,PEO,LiTr,Li,0.6,0.045,2024-Q2,Ag,2350,75.0,1,1,1,2,1,1,1,unknown,
NM_v142,A_concentration,PEO,LiTr,Li,0.6,0.09,2022-Q4,Ag,2000,75.0,1,1,1,4,1,1,1,unknown,
NM_v152,A_concentration,PEO,LiTr,Li,0.6,0.09,2023-Q1,Ag,2700,75.0,1,1,1,4,1,1,1,unknown,
NM_v170,A_concentration,PEO,LiTr,Li,0.6,0.09,2023-Q3,Ag,1500,75.0,1,0,0,2,0,0,0,unknown,
NM_v171,A_concentration,PEO,LiTr,Li,0.6,0.09,2023-Q3,Ag,2250,75.0,1,0,0,3,0,0,0,unknown,
NM_v172,A_concentration,PEO,LiTr,Li,0.6,0.09,2023-Q3,Ag,3000,75.0,1,0,0,3,0,0,0,unknown,
NM_v235,A_concentration,PEO,LiTr,Li,0.6,0.09,2023-Q3,,1500,75.0,0,0,0,0,0,0,0,unknown,
NM_v236,A_concentration,PEO,LiTr,Li,0.6,0.09,2023-Q3,,1800,75.0,0,0,0,0,0,0,0,unknown,
NM_v237,A_concentration,PEO,LiTr,Li,0.6,0.09,2023-Q3,,2100,75.0,0,0,0,0,0,0,0,unknown,
NM_v238,A_concentration,PEO,LiTr,Li,0.6,0.09,2023-Q3,,2400,75.0,0,0,0,0,0,0,0,unknown,
NM_v239,A_concentration,PEO,LiTr,Li,0.6,0.09,2023-Q3,,2700,75.0,0,0,0,0,0,0,0,unknown,
NM_v240,A_concentration,PEO,LiTr,Li,0.6,0.09,2023-Q3,,3000,75.0,0,0,0,0,0,0,0,unknown,
NM_v242,A_concentration,PEO,LiTr,Li,0.6,0.09,2023-Q4,Ag,2350,75.0,1,1,1,2,1,1,1,unknown,
NM_v143,A_concentration,PEO,LiTr,Li,0.6,0.18,2022-Q4,Ag,2000,75.0,1,1,1,4,1,1,1,unknown,
NM_v154,A_concentration,PEO,LiTr,Li,0.6,0.18,2023-Q1,Ag,2900,75.0,1,1,0,4,1,0,0,unknown,
NM_v217,A_concentration,PEO,LiTr,Li,0.6,0.18,2023-Q3,,1500,75.0,0,0,0,0,0,0,0,unknown,
