condition,seed,n_nodes,target,channel,lag_s,group,r2,nrmse
instantaneous,,48,EDA t-1s,EDA,1,fast 1-3 s,0.99857972,0.03768658
instantaneous,,48,EDA t-3s,EDA,3,fast 1-3 s,0.99684668,0.05615445
instantaneous,,48,EDA t-8s,EDA,8,mid 8 s,0.99394357,0.07782306
instantaneous,,48,EDA t-20s,EDA,20,slow 20-45 s,0.98648040,0.11627382
instantaneous,,48,EDA t-45s,EDA,45,slow 20-45 s,0.96276871,0.19295412
instantaneous,,48,Resp t-1s,Resp,1,fast 1-3 s,0.00938337,0.99529725
instantaneous,,48,Resp t-3s,Resp,3,fast 1-3 s,0.00181574,0.99909172
instantaneous,,48,Resp t-8s,Resp,8,mid 8 s,-0.00031983,1.00015990
instantaneous,,48,Resp t-20s,Resp,20,slow 20-45 s,-0.00028579,1.00014289
instantaneous,,48,Resp t-45s,Resp,45,slow 20-45 s,-0.00010741,1.00005370
instantaneous,,48,Temp t-1s,Temp,1,fast 1-3 s,0.99471436,0.07270238
instantaneous,,48,Temp t-3s,Temp,3,fast 1-3 s,0.99395322,0.07776107
instantaneous,,48,Temp t-8s,Temp,8,mid 8 s,0.98972175,0.10138169
instantaneous,,48,Temp t-20s,Temp,20,slow 20-45 s,0.97440462,0.15998557
instantaneous,,48,Temp t-45s,Temp,45,slow 20-45 s,0.93817344,0.24864948
instantaneous,,48,HR t-1s,HR,1,fast 1-3 s,0.94985014,0.22394165
instantaneous,,48,HR t-3s,HR,3,fast 1-3 s,0.77210972,0.47737855
instantaneous,,48,HR t-8s,HR,8,mid 8 s,0.69607794,0.55129127
instantaneous,,48,HR t-20s,HR,20,slow 20-45 s,0.61939884,0.61692881
instantaneous,,48,HR t-45s,HR,45,slow 20-45 s,0.57795582,0.64964928
memoryless,0,48,EDA t-1s,EDA,1,fast 1-3 s,0.99857450,0.03775580
memoryless,0,48,EDA t-3s,EDA,3,fast 1-3 s,0.99684960,0.05612841
memoryless,0,48,EDA t-8s,EDA,8,mid 8 s,0.99397869,0.07759711
memoryless,0,48,EDA t-20s,EDA,20,slow 20-45 s,0.98667193,0.11544725
memoryless,0,48,EDA t-45s,EDA,45,slow 20-45 s,0.96416904,0.18929068
memoryless,0,48,Resp t-1s,Resp,1,fast 1-3 s,0.03052480,0.98461932
memoryless,0,48,Resp t-3s,Resp,3,fast 1-3 s,0.03741150,0.98111595
memoryless,0,48,Resp t-8s,Resp,8,mid 8 s,-0.00593240,1.00296181
memoryless,0,48,Resp t-20s,Resp,20,slow 20-45 s,-0.00227125,1.00113498
memoryless,0,48,Resp t-45s,Resp,45,slow 20-45 s,-0.00316837,1.00158293
memoryless,0,48,Temp t-1s,Temp,1,fast 1-3 s,0.99470397,0.07277384
memoryless,0,48,Temp t-3s,Temp,3,fast 1-3 s,0.99394022,0.07784458
memoryless,0,48,Temp t-8s,Temp,8,mid 8 s,0.98968590,0.10155835
